id,season,week,season_type,start_date,neutral_site,conference_game,attendance,venue_id,venue,home_team,home_conference,home_points,home_line_scores[0],home_line_scores[1],home_line_scores[2],home_line_scores[3],home_line_scores[4],away_team,away_conference,away_points,away_line_scores[0],away_line_scores[1],away_line_scores[2],away_line_scores[3],away_line_scores[4]
401020780,2018,12,regular,2018-11-13T23:00:00.000Z,false,true,0,3919,Scheumann Stadium,Ball State,Mid-American,42,7,14,7,7,7,Western Michigan,Mid-American,41,7,10,3,15,6
401020781,2018,12,regular,2018-11-15T00:00:00.000Z,false,true,0,3876,Peden Stadium,Ohio,Mid-American,52,14,17,14,7,,Buffalo,Mid-American,17,7,3,0,7,
401020782,2018,12,regular,2018-11-15T01:00:00.000Z,false,true,0,3764,Brigham Field at Huskie Stadium,Northern Illinois,Mid-American,7,0,0,7,0,,Miami (OH),Mid-American,13,0,3,10,0,
401020783,2018,12,regular,2018-11-15T23:00:00.000Z,false,true,0,3696,Dix Stadium,Kent State,Mid-American,34,7,10,10,7,,Toledo,Mid-American,56,14,14,21,7,
401019529,2018,12,regular,2018-11-16T01:00:00.000Z,false,true,0,4728,John O'Quinn Field at TDECU Stadium,Houston,American Athletic,48,14,17,10,7,,Tulane,American Athletic,17,6,3,0,8,
401015045,2018,12,regular,2018-11-16T02:30:00.000Z,false,true,0,3825,Apogee Stadium,North Texas,Conference USA,41,17,3,14,7,,Florida Atlantic,Conference USA,38,7,14,10,7,
401022560,2018,12,regular,2018-11-17T02:00:00.000Z,false,true,0,3971,University Stadium,New Mexico,Mountain West,14,0,7,0,7,,Boise State,Mountain West,45,14,10,7,14,
401019530,2018,12,regular,2018-11-17T02:00:00.000Z,false,true,0,3735,Gerald J. Ford Stadium,SMU,American Athletic,18,3,2,7,6,,Memphis,American Athletic,28,0,7,7,14,
401012887,2018,12,regular,2018-11-17T17:00:00.000Z,false,true,0,3834,Memorial Stadium,Nebraska,Big Ten,9,0,0,0,9,,Michigan State,Big Ten,6,3,0,0,3,
401013036,2018,12,regular,2018-11-17T17:00:00.000Z,false,true,0,4727,McLane Stadium,Baylor,Big 12,9,6,0,3,0,,TCU,Big 12,16,3,6,7,0,
401012878,2018,12,regular,2018-11-17T17:00:00.000Z,false,true,0,3665,Maryland Stadium,Maryland,Big Ten,51,17,7,7,14,6,Ohio State,Big Ten,52,3,14,7,21,7
401012342,2018,12,regular,2018-11-17T17:00:00.000Z,false,false,0,3683,Commonwealth Stadium,Kentucky,SEC,34,17,7,7,3,,Middle Tennessee,Conference USA,23,0,10,6,7,
401012338,2018,12,regular,2018-11-17T17:00:00.000Z,false,false,0,3657,Bryant Denny Stadium,Alabama,SEC,50,7,3,27,13,,The Citadel,,17,0,10,0,7,
401012344,2018,12,regular,2018-11-17T17:00:00.000Z,false,true,0,3693,Davis Wade Stadium,Mississippi State,SEC,52,3,14,21,14,,Arkansas,SEC,6,0,3,3,0,
401012340,2018,12,regular,2018-11-17T17:00:00.000Z,false,false,0,3634,Ben Hill Griffin Stadium,Florida,SEC,63,28,21,7,7,,Idaho,,10,0,0,3,7,
401012849,2018,12,regular,2018-11-17T17:00:00.000Z,false,true,0,3754,High Point Solutions Stadium,Rutgers,Big Ten,7,0,0,0,7,,Penn State,Big Ten,20,3,10,0,7,
401019533,2018,12,regular,2018-11-17T17:00:00.000Z,false,true,0,3806,Lincoln Financial Field,Temple,American Athletic,27,0,0,10,17,,South Florida,American Athletic,17,7,10,0,0,
401013181,2018,12,regular,2018-11-17T17:00:00.000Z,false,true,0,3630,BB&T Field,Wake Forest,ACC,13,3,7,0,3,,Pittsburgh,ACC,34,0,6,14,14,
401013334,2018,12,regular,2018-11-17T17:00:00.000Z,false,true,0,3953,TCF Bank Stadium,Minnesota,Big Ten,14,0,7,0,7,,Northwestern,Big Ten,24,7,6,0,11,
401013375,2018,12,regular,2018-11-17T17:00:00.000Z,false,false,0,3841,Blaik Field at Michie Stadium,Army,FBS Independents,28,7,7,0,14,,Colgate,,14,0,0,7,7,
401013178,2018,12,regular,2018-11-17T17:20:00.000Z,false,true,0,3873,Papa John's Cardinal Stadium,Louisville,ACC,10,3,0,0,7,,NC State,ACC,52,7,10,21,14,
401012792,2018,12,regular,2018-11-17T18:30:00.000Z,false,true,0,3726,Folsom Field,Colorado,Pac-12,7,7,0,0,0,,Utah,Pac-12,30,0,7,17,6,
401015044,2018,12,regular,2018-11-17T19:00:00.000Z,false,true,0,4418,Jerry Richardson Stadium,Charlotte,Conference USA,35,7,7,7,14,,Florida International,Conference USA,42,10,10,7,15,
401015048,2018,12,regular,2018-11-17T19:00:00.000Z,false,false,0,3918,Foreman Field,Old Dominion,Conference USA,77,21,28,14,14,,VMI,,14,0,0,14,0,
401022561,2018,12,regular,2018-11-17T19:00:00.000Z,false,true,0,5388,Canvas Stadium,Colorado State,Mountain West,24,0,7,10,7,,Utah State,Mountain West,29,3,7,10,9,
401015047,2018,12,regular,2018-11-17T19:30:00.000Z,false,true,0,3775,Joan C. Edwards Stadium,Marshall,Conference USA,23,10,10,3,0,,UT San Antonio,Conference USA,0,0,0,0,0,
401021692,2018,12,regular,2018-11-17T19:30:00.000Z,false,true,0,3792,Kidd Brewer Stadium,Appalachian State,Sun Belt,45,14,3,14,14,,Georgia State,Sun Belt,17,7,0,3,7,
401013182,2018,12,regular,2018-11-17T19:30:00.000Z,true,false,0,4102,Yankee Stadium,Notre Dame,FBS Independents,36,13,7,9,7,,Syracuse,ACC,3,0,0,0,3,
401022562,2018,12,regular,2018-11-17T20:00:00.000Z,false,true,0,3935,Spartan Stadium,San José State,Mountain West,12,6,0,6,0,,Nevada,Mountain West,21,0,7,7,7,
401021693,2018,12,regular,2018-11-17T20:00:00.000Z,false,true,0,3625,Centennial Bank Stadium,Arkansas State,Sun Belt,31,7,10,14,0,,Louisiana Monroe,Sun Belt,17,0,7,10,0,
401013180,2018,12,regular,2018-11-17T20:00:00.000Z,false,false,0,3787,Kenan Memorial Stadium,North Carolina,ACC,49,14,21,14,0,,Western Carolina,,26,7,9,3,7,
401015046,2018,12,regular,2018-11-17T20:30:00.000Z,false,true,0,3815,M. M. Roberts Stadium,Southern Mississippi,Conference USA,21,7,7,0,7,,Louisiana Tech,Conference USA,20,7,10,0,3,
401013064,2018,12,regular,2018-11-17T20:30:00.000Z,false,true,0,3636,Bill Snyder Family Football Stadium,Kansas State,Big 12,21,0,10,5,6,,Texas Tech,Big 12,6,6,0,0,0,
401013353,2018,12,regular,2018-11-17T20:30:00.000Z,false,true,0,3907,Ross-Ade Stadium,Purdue,Big Ten,44,0,10,14,3,7,Wisconsin,Big Ten,47,0,3,10,14,7
401012814,2018,12,regular,2018-11-17T20:30:00.000Z,false,true,0,3832,Memorial Stadium,Illinois,Big Ten,0,0,0,0,0,,Iowa,Big Ten,63,7,28,14,14,
401013327,2018,12,regular,2018-11-17T20:30:00.000Z,false,true,0,3646,Boone Pickens Stadium,Oklahoma State,Big 12,45,7,7,10,21,,West Virginia,Big 12,41,14,17,0,10,
401012791,2018,12,regular,2018-11-17T20:30:00.000Z,false,true,0,1056,Rose Bowl,UCLA,Pac-12,34,14,7,0,13,,USC,Pac-12,27,10,14,3,0,
401013177,2018,12,regular,2018-11-17T20:30:00.000Z,false,true,0,721,Bobby Dodd Stadium at Historic Grant Field,Georgia Tech,ACC,30,13,3,0,11,3,Virginia,ACC,27,14,7,0,6,0
401013179,2018,12,regular,2018-11-17T20:30:00.000Z,false,true,0,3799,Lane Stadium,Virginia Tech,ACC,14,7,7,0,0,,Miami,ACC,38,3,14,21,0,
401013175,2018,12,regular,2018-11-17T20:30:00.000Z,false,true,0,3697,Bobby Bowden Field at Doak Campbell Stadium,Florida State,ACC,22,0,6,7,9,,Boston College,ACC,21,0,7,7,7,
401021696,2018,12,regular,2018-11-17T20:30:00.000Z,false,true,0,3975,Veterans Memorial Stadium,Troy,Sun Belt,12,3,6,0,3,,Texas State,Sun Belt,7,0,0,0,7,
401012346,2018,12,regular,2018-11-17T20:30:00.000Z,false,true,0,3853,Neyland Stadium,Tennessee,SEC,17,0,10,7,0,,Missouri,SEC,50,6,20,14,10,
401020784,2018,12,regular,2018-11-17T20:30:00.000Z,false,true,0,3768,Summa Field at InfoCision Stadium,Akron,Mid-American,6,3,3,0,0,,Bowling Green,Mid-American,21,0,7,7,7,
401019534,2018,12,regular,2018-11-17T20:30:00.000Z,false,true,0,3852,Navy-Marine Corps Memorial Stadium,Navy,American Athletic,37,7,20,3,7,,Tulsa,American Athletic,29,7,9,0,13,
401012860,2018,12,regular,2018-11-17T21:00:00.000Z,false,true,0,3558,Michigan Stadium,Michigan,Big Ten,31,3,12,10,6,,Indiana,Big Ten,20,7,10,0,3,
401012341,2018,12,regular,2018-11-17T21:00:00.000Z,false,false,0,3917,Sanford Stadium,Georgia,SEC,66,14,28,17,7,,UMass,FBS Independents,27,7,6,7,7,
401012339,2018,12,regular,2018-11-17T21:00:00.000Z,false,false,0,3785,Jordan-Hare Stadium,Auburn,SEC,53,15,17,21,0,,Liberty,,0,0,0,0,0,
401022559,2018,12,regular,2018-11-17T21:00:00.000Z,false,true,0,3984,War Memorial Stadium,Wyoming,Mountain West,35,14,0,0,21,,Air Force,Mountain West,27,7,10,7,3,
401012794,2018,12,regular,2018-11-17T21:30:00.000Z,false,true,0,3765,Husky Stadium,Washington,Pac-12,42,28,7,7,0,,Oregon State,Pac-12,23,3,13,0,7,
401021694,2018,12,regular,2018-11-17T22:00:00.000Z,false,true,0,3654,Brooks Stadium,Coastal Carolina,Sun Belt,17,7,3,0,7,,Georgia Southern,Sun Belt,41,3,10,21,7,
401021695,2018,12,regular,2018-11-17T22:00:00.000Z,false,true,0,3666,Cajun Field,Louisiana,Sun Belt,48,10,14,17,7,,South Alabama,Sun Belt,38,0,17,7,14,
401013176,2018,12,regular,2018-11-18T00:00:00.000Z,false,true,0,3836,Memorial Stadium,Clemson,ACC,35,0,14,14,7,,Duke,ACC,6,6,0,0,0,
401012347,2018,12,regular,2018-11-18T00:00:00.000Z,false,false,0,3795,Kyle Field,Texas A&M,SEC,41,14,10,10,7,,UAB,Conference USA,20,7,0,0,13,
401019532,2018,12,regular,2018-11-18T00:00:00.000Z,false,true,0,3699,Dowdy-Ficklen Stadium,East Carolina,American Athletic,55,7,27,14,7,,Connecticut,American Athletic,21,7,14,0,0,
401013055,2018,12,regular,2018-11-18T00:30:00.000Z,false,true,0,3835,Gaylord Family Oklahoma Memorial Stadium,Oklahoma,Big 12,55,7,14,14,20,,Kansas,Big 12,40,7,3,7,23,
401015049,2018,12,regular,2018-11-18T00:30:00.000Z,false,true,0,3796,Houchens Industries-L. T. Smith Stadium,Western Kentucky,Conference USA,40,27,13,0,0,,UTEP,Conference USA,16,0,0,8,8,
401012343,2018,12,regular,2018-11-18T00:30:00.000Z,false,false,0,3958,Tiger Stadium,LSU,SEC,42,14,14,7,7,,Rice,Conference USA,10,0,3,0,7,
401012348,2018,12,regular,2018-11-18T00:30:00.000Z,false,true,0,3973,Vanderbilt Stadium,Vanderbilt,SEC,36,0,12,14,3,7,Ole Miss,SEC,29,3,10,6,10,0
401012345,2018,12,regular,2018-11-18T00:30:00.000Z,false,false,0,3994,Williams-Brice Stadium,South Carolina,SEC,49,14,14,7,14,,Chattanooga,,9,0,3,0,6,
401019531,2018,12,regular,2018-11-18T01:00:00.000Z,false,true,0,3652,Bright House Networks Stadium,UCF,American Athletic,38,7,14,7,10,,Cincinnati,American Athletic,13,6,0,0,7,
401013046,2018,12,regular,2018-11-18T01:00:00.000Z,false,true,0,3910,Darrell K Royal-Texas Memorial Stadium,Texas,Big 12,24,7,10,7,0,,Iowa State,Big 12,10,3,0,0,7,
401013446,2018,12,regular,2018-11-18T03:15:00.000Z,false,false,0,3801,LaVell Edwards Stadium,BYU,FBS Independents,45,7,24,7,7,,New Mexico State,,10,7,0,3,0,
401022563,2018,12,regular,2018-11-18T03:30:00.000Z,false,true,0,3660,Bulldog Stadium,Fresno State,Mountain West,23,7,3,7,6,,San Diego State,Mountain West,14,7,7,0,0,
401012795,2018,12,regular,2018-11-18T03:30:00.000Z,false,true,0,3820,Martin Stadium,Washington State,Pac-12,69,21,34,0,14,,Arizona,Pac-12,28,7,7,14,0,
401012793,2018,12,regular,2018-11-18T03:30:00.000Z,false,true,0,3626,Autzen Stadium,Oregon,Pac-12,31,7,21,0,3,,Arizona State,Pac-12,29,3,10,3,13,
401022564,2018,12,regular,2018-11-18T04:00:00.000Z,false,true,0,3610,Aloha Stadium,Hawai'i,Mountain West,35,3,3,7,22,,UNLV,Mountain West,28,7,14,0,7,